
== A. Paid campaigns - engagement quality (the real ranking) ==
sessionCampaignName,sessions,totalUsers,engagedSessions,userEngagementDuration,screenPageViews,conversions
6886152732062,3942,3956,2097,138,6395,0
6873544636062,2855,2834,125,182,2932,0
6957367052862,1677,1653,1000,246,5513,0
6943407367462,1284,1271,692,196,3973,0
6898711725062,1239,1223,666,32,3062,0
6858572414862,299,293,54,601,326,0
6934480627062,88,86,48,0,270,0
6858573499062,8,7,2,36,8,0
6840911592462,4,3,2,21,5,0
ig_test,3,3,0,0,11,0
6818503206262,2,2,1,3,2,0
6826081387062,1,1,0,0,1,0

== B. Paid campaigns - scroll depth reached (real reading) ==
sessionCampaignName,eventCount,totalUsers
6886152732062,849,484
6873544636062,210,189
6898711725062,476,171
6943407367462,574,170
6957367052862,232,84
6858572414862,44,42
6934480627062,36,11
ig_test,8,3
6818503206262,1,1
6858573499062,1,1

== C. Paid campaigns - 10s+ dwell (user_engagement) ==
sessionCampaignName,eventCount,totalUsers
6886152732062,18,16
6858572414862,20,13
6873544636062,19,10
6943407367462,20,8
6957367052862,14,7
6898711725062,9,4
6858573499062,2,2
6818503206262,1,1
6840911592462,1,1

== D. Paid campaigns - begin_checkout (intent) ==
sessionCampaignName,eventCount,totalUsers
6957367052862,10,4
6886152732062,4,3
6898711725062,4,2
ig_test,1,1

== E. Monthly paid trend - sessions vs engagement ==
yearMonth,sessionCampaignName,sessions,userEngagementDuration,totalUsers
202603,6886152732062,2424,63,2419
202603,6873544636062,2016,116,2013
202604,6886152732062,1545,75,1540
202606,6943407367462,1284,196,1271
202604,6898711725062,1239,32,1223
202607,6957367052862,1132,228,1116
202602,6873544636062,824,66,822
202608,6957367052862,424,18,417
202601,6858572414862,297,601,291
202606,6957367052862,125,0,122
202605,6934480627062,65,0,64
202606,6934480627062,23,0,22
202601,6858573499062,4,31,3
202602,6858573499062,4,5,4
202601,6840911592462,3,21,2
202608,ig_test,3,0,3
202602,6858572414862,2,0,2
202601,6818503206262,1,0,1
202601,6826081387062,1,0,1
202602,6818503206262,1,3,1
202603,6840911592462,1,0,1
