
== Totals (last 30 days) ==
sessions,totalUsers,conversions,eventCount,engagedSessions
2012,1877,2,26916,1028

== Daily trend ==
date,sessions,conversions,totalUsers
/preparation-information,3,0,0.33333333333333331,53.51155966666667
/schedule-a-session,3,0,0,0.12488366666666667
//checkout,2,0,0,0.6150825
/cancellation-and-reschedule-policy,2,0,0,5.2538365
/classes,2,0,0,0
/gallery/events,2,0,0,4.783903
/in_media,2,0,0,9.9914525
/in_media/cbs2-news,2,0,0.5,19.202393999999998
/manifestation/is-visualization-necessary-to-manifest,2,0,0,0.3884995
/manifestation/manifestation-techniques-that-actually-work-2026,2,0,0,1.4531745
/print-services,2,0,0,3.352632
/reviews,2,0,0.5,120.9255925
/services/private-party-at-studio,2,0,0,1.494875
/become-a-model,1,0,0,0.010768
/gallery/art-history,1,0,0,0
/gallery/asian-influenced,1,0,0,0.020693
/gallery/events/private-party-091314,1,0,1,216.700052
/gallery/events/private-party-in-hamptons-080115,1,0,1,10.514015
/gallery/events/roberto-cavalli-at-bdny,1,0,1,21.046141
/in_media/1st-look-tv,1,0,1,63.346936
/in_media/galo-magazine,1,0,1,65.668258
/in_media/today-show,1,0,1,63.719502
/manifestation/can-you-manifest-with-aphantasia,1,0,0,9.977869
/manifestation/living-in-the-end,1,0,0,10.150632
/manifestation/manifestation-feels-like-lying-to-myself,1,0,0,9.99831
/manifestation/what-is-a-manifestation-ritual,1,0,1,107.79209
/manifestation/why-isnt-my-manifestation-working,1,0,0,0.265793
/manifestation/why-your-visualization-doesnt-feel-real,1,0,0,0.233296
/services,1,0,0,0
/tracking-docs,1,0,1,78.342214

== Entry landing page - begin_checkout ==
landingPage,sessions,eventCount
/,11,40
/classes/uv-body-paint-couples,7,18
/gallery,2,6
/index.html,2,2
/services/embodied-manifestation,1,20

== Entry landing page - purchase ==
landingPage,sessions,eventCount
/,1,2

== Device category - begin_checkout vs purchase ==
deviceCategory,eventName,eventCount,totalUsers
mobile,page_view,5593,1390
mobile,ab_variant_assigned,3321,1202
mobile,session_start,2946,1389
mobile,first_visit,2735,1376
mobile,sessions_loaded,1850,808
mobile,date_selected,1772,787
desktop,page_view,1499,464
desktop,ab_variant_assigned,1318,420
desktop,scroll,1129,342
mobile,user_engagement,1025,168
desktop,session_start,959,465
desktop,first_visit,929,462
desktop,user_engagement,704,122
mobile,scroll,622,145
desktop,sessions_loaded,84,29
mobile,begin_checkout,80,18
desktop,date_selected,76,28
tablet,page_view,42,9
tablet,ab_variant_assigned,40,9
mobile,add_payment_info,32,12
mobile,checkout_abandoned,28,10
tablet,user_engagement,24,5
tablet,first_visit,18,9
tablet,scroll,18,6
tablet,session_start,18,9
desktop,form_start,16,7
mobile,click,10,4
mobile,form_start,8,4
desktop,begin_checkout,6,3
desktop,click,6,2
desktop,checkout_abandoned,2,1
mobile,purchase,2,1
tablet,date_selected,2,1
tablet,sessions_loaded,2,1
