
== Daily trend (Jul 16 - today) (2026-07-16 to 2026-08-20) ==
date,sessions,totalUsers,conversions,eventCount
/services/embodied-manifestation,8,0,0.125
/about,6,0,0.5
/unique-date-night-ideas-nyc-2026,6,0,0.5
/preparation-information,5,0,0
/schedule-a-session,5,0,0.4
(not set),4,0,0
/classes/redrawn,4,0,0
/get-a-quote,4,0,0
/manifestation/how-to-feel-the-wish-fulfilled,4,0,0
/manifestation/manifestation-without-visualization,3,0,0
/services/fine-art-body-painting,3,0,0.33333333333333331
/body-painting-models,2,0,0.5
/classes,2,0,0
/events/body-paint-nite-61314,2,0,0
/gallery/glow,2,0,0
/manifestation,2,0,0
/manifestation/how-to-let-go-and-stop-obsessing,2,0,0
/manifestation/neville-goddard-i-am-state,2,0,0.5
/manifestation/reality-transurfing-explained,2,0,0
/manifestation/why-your-visualization-doesnt-feel-real,2,0,0
/privacy-policy,2,0,0
/services,2,0,0
/services/body-painting-for-events,2,0,0
/unique-experiences-nyc,2,0,1
/become-a-model,1,0,0
/calendar,1,0,0
/contact,1,0,0
/events/40th-birthday-party-at-invite-only,1,0,0
/events/aa-amex-event-2011,1,0,0
/events/amanda-palmer-at-ny-public-library,1,0,0
/events/atlas-obscura-surrealist-hotel,1,0,0
/events/autonomic-062414,1,0,0
/events/bodypainting-class-as-field-trip-finale,1,0,0
/events/casio-g-shock-event,1,0,0
/events/denart-open-house-2016,1,0,0
/gallery/chinese-dragon-1,1,0,0
/gallery/events,1,0,0
/gallery/events/fushimi-williamsburg-092112,1,0,1
/gallery/glowing-skull,1,0,0
/in_media,1,0,0
/manifestation/can-you-manifest-with-aphantasia,1,0,0
/manifestation/how-do-you-know-if-manifestation-is-working,1,0,0
/manifestation/how-to-do-sats-when-you-cant-visualize,1,0,0
/manifestation/living-in-the-end,1,0,0
/nyc-bucket-list-2026,1,0,0

== BEFORE landing pages (2026-08-09 to 2026-08-14) ==
landingPage,sessions,conversions,engagementRate
/classes/uv-body-paint-couples,189,0,0.72486772486772488
/index.html,70,0,0.24285714285714285
/,62,2,0.5
/services/fine-art-body-painting,5,0,0.2
(not set),4,0,0
/classes/speed-friending,3,0,0
/get-a-quote,3,0,0.33333333333333331
/services/maternity-belly-painting,3,0,0.66666666666666663
